;9;10;11;12
BPI-080-CO;-1.246827237;0;0.708469719;1.034352545
BPI-081-CO;0.284822045;2.044589305;0.415175175;1.669824055
BPI-082-CO;-0.187708053;1.083234968;1.09952911;2.354177989
BPI-083-CO;-0.611355726;0.610704871;0.72476386;2.093471729
BPI-084-CO;-0.969826835;-0.269178759;-1.377180367;-0.204002194
BPI-085-CO;-1.295709661;-0.578767444;-1.654180769;0.089292349
BPI-086-CO;-1.686769052;-0.90465027;-0.986120976;0.366292751
BPI-087-CO;-1.654180769;-0.2854729;-0.806885422;-0.611355726
BPI-088-CO;-1.344592085;-0.643944009;-1.312003802;-0.204002194
BPI-089-CO;1.262470523;1.849059609;-0.481002596;2.777825663
BPI-090-CO;0;2.060883446;-0.806885422;2.468236979
BPI-091-CO;1.392823653;1.718706479;-1.7845339;1.018058403
BPI-092-CO;0.920293555;1.458000218;-1.40976865;0.464057599
BPI-093-CO;-1.197944813;-0.66023815;-0.432120172;0.59441073
BPI-094-CO;-1.230533095;-0.481002596;-0.823179563;1.164705675
BPI-095-CO;-1.572710063;-0.855767846;-1.116474106;0.903999414
BPI-096-CO;-1.572710063;-0.171413911;-0.041060781;-1.7845339
BPI-097-CO;1.164705675;-0.008472498;0.284822045;0.561822447
BPI-098-CO;0.170763056;0.512940023;0;1.637235772
BPI-099-CO;-1.735651476;-0.725414715;-1.360886226;-0.057354922
BPI-100-CO;-1.735651476;-1.295709661;-0.920944411;0.333704469
BPI-101-CO;-1.344592085;-0.741708857;-0.399531889;0.675881436
BPI-102-CO;-0.073649064;0.138174773;0.920293555;0
BPI-103-CO;-1.002415117;0.887705273;0;0
BPI-104-CO;0.545528306;1.050646686;-0.057354922;0.268527904
BPI-105-CO;-1.360886226;-0.057354922;-1.40976865;-0.546179161
BPI-106-CO;-1.703063193;0.317410328;-1.116474106;-0.806885422
BPI-107-CO;-2.04524016;-0.692826433;-2.012651878;0.170763056
BPI-108-CO;-1.344592085;1.702412338;-0.236590476;0.056704067
BPI-109-CO;-1.051297541;-0.432120172;-1.719357334;-0.2854729
BPI-110-CO;-1.474945215;-1.16535653;-1.719357334;1.36023537
BPI-111-CO;0;1.914236175;-1.91488703;-1.637886628
BPI-112-CO;0;1.849059609;-1.312003802;-0.969826835
BPI-113-CO;0.692175577;1.73500062;1.132117392;1.881647892
BPI-114-CO;0.431469317;1.47429436;1.653529914;0
BPI-115-CO;1.115823251;1.572059207;1.213588099;1.783883044
BPI-116-CO;-1.083885824;-0.399531889;-1.214238954;0.708469719
BPI-117-CO;-1.360886226;-0.643944009;-1.279415519;0.480351741
BPI-118-CO;-1.637886628;-0.920944411;-1.800828041;0.138174773
BPI-119-CO;-0.709120574;0;0;1.083234968
BPI-120-CO;-1.947475312;-1.866004606;-1.507533497;0
BPI-121-CO;0.105586491;0.675881436;-1.263121378;1.148411534
BPI-122-CO;0.59441073;1.148411534;-0.709120574;0
BPI-123-CO;-0.334355324;0.007821643;-0.399531889;1.555765066
BPI-124-CO;-1.491239356;-0.953532693;-0.269178759;0.838822849
BPI-125-CO;0.887705273;-1.556415921;-1.246827237;1.409117794
BPI-126-CO;1.262470523;1.816471327;0.203351339;1.572059207
BPI-127-CO;1.555765066;1.963118598;0.431469317;1.36023537
BPI-128-CO;1.295058805;1.800177185;0.643293153;1.001764262
BPI-129-CO;-1.132768248;-0.839473704;-1.589004204;-0.806885422
