;9;10;11;12
BPI-137-CO;0.773799394;3.404597324;0.981493967;-0.126210424
BPI-138-CO;0.427641772;3.404597324;2.366124457;-0.472368046
BPI-139-CO;3.058439701;-1.026220242;3.058439701;-1.026220242
BPI-140-CO;3.404597324;-0.429112187;-2.480082256;-2.480082256
BPI-141-CO;-2.480082256;-1.955692999;-2.480082256;-2.480082256
BPI-142-CO;-2.480082256;-0.778859807;-0.472368046;-0.472368046
BPI-143-CO;-2.480082256;-0.683337632;-1.026220242;-0.818525669
BPI-144-CO;0.499187902;0.427641772;-2.480082256;0.635336345
BPI-145-CO;-2.133924634;-1.718535487;-0.403136522;-1.718535487
BPI-146-CO;-0.956988718;3.404597324;-1.026220242;3.404597324
BPI-147-CO;0.012252625;3.058439701;0.421990389;3.404597324
BPI-148-CO;-0.333904997;0.981493967;-0.956988718;0.981493967
BPI-149-CO;-1.164683291;-1.787767011;-1.164683291;-0.818525669
BPI-150-CO;-0.610831095;-1.787767011;-1.30314634;2.366124457
BPI-151-CO;-1.095451767;-1.095451767;3.404597324;2.366124457
BPI-152-CO;-1.095451767;-1.30314634;3.058439701;3.058439701
BPI-153-CO;-1.095451767;-0.472368046;-0.195441949;0.081484149
BPI-154-CO;0.981493967;-0.89519217;-2.480082256;0.012252625
BPI-001-CO1;0.289178723;0.289178723;-1.34926365;-1.34926365
BPI-002-CO1;0.012252625;-0.506792184;-0.506792184;-0.506792184
BPI-003-CO1;-0.956988718;0.111270401;-0.264673473;0.111270401
BPI-004-CO1;-0.641887831;-0.472368046;-0.887757193;-0.641887831
BPI-005-CO1;0.081484149;-0.195441949;-0.887757193;-0.334545234
BPI-006-CO1;0.150715674;-0.195441949;-0.749294144;-0.604736528
BPI-007-CO1;-0.749294144;0.081484149;0.150715674;-0.978091771
BPI-008-CO1;-0.749294144;-0.0569789;-0.333904997;0.151799095
BPI-009-CO1;-0.264673473;-0.610831095;0.313913872;0.313913872
BPI-010-CO1;0.081484149;0.012252625;-0.913955454;-0.913955454
BPI-011-CO1;0.358410247;0.427641772;0.427641772;1.187532389
BPI-012-CO1;-0.158920893;0.150715674;0.496873296;0.289178723
BPI-013-CO1;1.519642522;0.427641772;1.050725492;0.981493967
BPI-014-CO1;0.012252625;-1.793578223;-0.0569789;-0.610831095
BPI-015-CO1;-0.478647258;-0.541599571;-0.478647258;-0.264673473
BPI-016-CO1;-0.264673473;0.88731984;0.081484149;-0.403136522
BPI-017-CO1;0.773799394;0.932351723;0.932351723;-0.0569789
BPI-018-CO1;-0.219713934;-0.219713934;-0.219713934;-0.219713934
BPI-019-CO1;0.091756585;0.150715674;0.091756585;0.091756585
BPI-020-CO1;0.055302204;0.055302204;0.055302204;0.055302204
BPI-021-CO1;-0.610831095;-0.818525669;-0.823891689;-0.823891689
BPI-022-CO1;-1.09783564;0.427641772;-1.09783564;-1.09783564
BPI-023-CO1;0.24186286;0.081484149;0.24186286;0.24186286
BPI-024-CO1;-0.956988718;-0.887757193;-1.21266694;-1.21266694
BPI-025-CO1;-1.095451767;-1.026220242;-0.672284352;-0.672284352
BPI-026-CO1;-1.026220242;-0.818525669;-1.319242395;-1.319242395
BPI-027-CO1;-0.403136522;-1.28922114;-1.28922114;-0.0569789
BPI-028-CO1;-1.091080858;-0.0569789;-1.091080858;-0.195441949
BPI-029-CO1;0.427641772;0.150715674;-0.333904997;0.496873296
BPI-030-CO1;0.106767213;-0.541599571;0.150715674;0.150715674
BPI-031-CO1;0.446553234;0.427641772;-0.264673473;0.566104821
BPI-032-CO1;-0.403136522;-0.278050691;0.358410247;0.289178723
BPI-033-CO1;0.358410247;-0.695619055;-0.126210424;0.496873296
BPI-034-CO1;0.012252625;-0.333904997;-1.162313108;0.289178723
BPI-035-CO1;0.289178723;0.981493967;0.200924785;1.119957016
BPI-036-CO1;0.587107291;0.496873296;-0.68006262;0.587107291
BPI-037-CO1;0.935353848;0.496873296;0.012252625;0.935353848
BPI-038-CO1;0.190397851;-0.749294144;0.190397851;0.190397851
BPI-039-CO1;-0.264673473;-0.755271678;-0.755271678;-0.755271678
BPI-040-CO1;0.885175465;-0.472368046;0.885175465;0.885175465
BPI-041-CO1;1.181903404;-0.887757193;1.181903404;0.012252625
BPI-042-CO1;-0.639475409;-0.639475409;-0.639475409;0.289178723
BPI-043-CO1;0.132499717;0.132499717;0.132499717;0.427641772
BPI-044-CO1;-1.114722596;-1.114722596;0.427641772;0.496873296
BPI-045-CO1;-0.749294144;-1.491864611;-1.491864611;-1.491864611
BPI-046-CO1;2.070157283;1.95073531;0.70456787;2.070157283
BPI-047-CO1;-0.0569789;-1.244189258;-1.244189258;-1.244189258
BPI-048-CO1;-0.0569789;0.427641772;0.081484149;1.259583401
BPI-049-CO1;-0.0569789;1.863010625;-0.126210424;1.863010625
BPI-050-CO1;0.358410247;0.70456787;0.651652989;0.289178723
BPI-051-CO1;0.219947198;1.379941341;0.70456787;1.396883114
BPI-052-CO1;-0.823891689;-0.749294144;0.081484149;-0.823891689
BPI-053-CO1;-0.429112187;-0.403136522;-0.429112187;0.081484149
BPI-054-CO1;0.192327789;-0.0569789;0.192327789;0.289178723
BPI-055-CO1;-0.68006262;-0.610831095;0.256873487;0.219947198
BPI-056-CO1;-0.0569789;0.111270401;0.496873296;0.111270401
BPI-057-CO1;-0.195441949;0.003193883;0.358410247;0.003193883
BPI-058-CO1;-0.685793917;-0.685793917;-0.749294144;-0.472368046
BPI-059-CO1;-0.058349689;-0.058349689;-0.68006262;-0.68006262
BPI-060-CO1;-0.280506975;-0.280506975;-0.541599571;-0.610831095
BPI-061-CO1;-1.27284591;-0.818525669;-0.126210424;-0.126210424
BPI-062-CO1;-0.646493365;-0.264673473;0.012252625;0.289178723
BPI-063-CO1;0.566104821;-0.241206424;0.012252625;-0.403136522
BPI-064-CO1;0.843030918;0.012252625;-0.264673473;-0.126210424
BPI-065-CO1;-0.366067552;-0.333904997;-0.366067552;0.081484149
BPI-066-CO1;0.70456787;-0.996513905;-0.126210424;-0.126210424
BPI-067-CO1;0.427641772;-0.403136522;-1.039498884;0.289178723
BPI-068-CO1;-0.628753532;0.912262443;-0.628753532;0.843030918
BPI-069-CO1;0.150715674;1.604577688;-0.688796042;-0.688796042
BPI-070-CO1;0.30619412;0.70456787;0.30619412;0.30619412
BPI-072-CO1;-0.0569789;0.18182035;0.912262443;-0.195441949
BPI-073-CO1;-0.887757193;0.016703448;0.012252625;0.496873296
BPI-074-CO1;-1.604444317;0.427641772;0.012252625;-0.0569789
BPI-075-CO1;-1.644973011;-1.644973011;-0.403136522;-0.264673473
BPI-076-CO1;-0.333904997;-0.403136522;-1.361272152;-1.361272152
BPI-077-CO1;-0.195441949;-0.195441949;0.081484149;0.427641772
BPI-078-CO1;1.119957016;1.466114639;1.789833816;1.789833816
BPI-079-CO1;0.489538213;-0.126210424;0.427641772;-0.264673473
BPI-080-CO1;1.878021252;0.843030918;1.878021252;1.119957016
BPI-081-CO1;1.050725492;-0.67105621;-0.264673473;-0.0569789
BPI-082-CO1;-1.164683291;-1.395660135;-1.095451767;-0.126210424
BPI-083-CO1;-1.026220242;-1.751821386;-0.887757193;-0.403136522
BPI-084-CO1;-0.118392199;-0.333904997;-0.749294144;0.981493967
BPI-085-CO1;0.566104821;-0.126210424;-0.333904997;0.476028648
BPI-086-CO1;0.016703448;0.150715674;-0.541599571;0.016703448
BPI-087-CO1;0.476028648;-0.195441949;-0.126210424;0.476028648
BPI-088-CO1;-0.202826978;-0.195441949;-0.749294144;-0.202826978
BPI-089-CO1;1.063694713;1.063694713;1.063694713;0.012252625
BPI-090-CO1;0.219346919;0.219947198;0.219346919;0.219346919
BPI-091-CO1;-0.472368046;1.300112095;0.081484149;1.300112095
BPI-092-CO1;-0.333904997;-0.442621752;-0.333904997;-0.442621752
BPI-093-CO1;-0.541599571;0.012252625;-0.145411328;0.635336345
BPI-094-CO1;0.219947198;0.012252625;0.150715674;-0.193445336
BPI-095-CO1;-0.333904997;0.081484149;-0.142955044;0.843030918
BPI-096-CO1;-0.264673473;0.842287958;0.842287958;0.842287958
