;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
21;BPI-021-CO 2019-08-28 07:29 AM;BPI-021-CO 2019-08-28 07:44 AM;BPI-021-CO 2019-08-29 06:15 AM;BPI-021-CO 2019-08-29 06:35 AM;BPI-021-CO 2020-01-24 06:50 AM;BPI-021-CO 2020-01-24 07:24 AM;BPI-021-CO 2020-01-28 06:26 AM;BPI-021-CO 2020-01-28 06:55 AM;BPI-021-CO 2020-08-31 06:15 AM;BPI-021-CO 2020-08-31 07:44 AM;BPI-021-CO 2020-09-29 06:30 AM;BPI-021-CO 2020-09-29 07:06 AM;BPI-021-CO 2021-02-16 07:31 AM;BPI-021-CO 2021-02-16 08:59 AM;BPI-021-CO 2021-03-10 07:30 AM;BPI-021-CO 2021-03-10 08:09 AM;BPI-021-CO 2021-07-21 06:47 AM;BPI-021-CO 2021-07-21 07:29 AM;NA;NA
22;BPI-022-CO 2019-08-28 07:48 AM;BPI-022-CO 2019-08-28 08:12 AM;BPI-022-CO 2019-08-29 06:11 AM;BPI-022-CO 2019-08-29 06:35 AM;BPI-022-CO 2020-01-24 07:06 AM;BPI-022-CO 2020-01-24 07:40 AM;BPI-022-CO 2020-01-28 06:43 AM;BPI-022-CO 2020-01-28 07:12 AM;BPI-022-CO 2020-08-31 06:36 AM;BPI-022-CO 2020-08-31 08:11 AM;BPI-022-CO 2020-09-29 07:38 AM;BPI-022-CO 2020-09-29 08:10 AM;BPI-022-CO 2021-02-16 07:51 AM;BPI-022-CO 2021-02-16 09:52 AM;BPI-022-CO 2021-03-10 07:09 AM;BPI-022-CO 2021-03-10 08:22 AM;BPI-022-CO 2021-07-21 07:13 AM;BPI-022-CO 2021-07-21 07:17 AM;NA;NA
23;BPI-023-CO 2019-08-28 08:10 AM;BPI-023-CO 2019-08-28 08:41 AM;BPI-023-CO 2019-08-29 05:49 AM;BPI-023-CO 2019-08-29 06:54 AM;BPI-023-CO 2020-01-24 08:02 AM;BPI-023-CO 2020-01-24 08:16 AM;BPI-023-CO 2020-01-28 06:16 AM;BPI-023-CO 2020-01-28 07:02 AM;BPI-023-CO 2020-08-31 07:02 AM;BPI-023-CO 2020-08-31 08:34 AM;BPI-023-CO 2020-09-29 07:39 AM;BPI-023-CO 2020-09-29 07:56 AM;BPI-023-CO 2021-02-16 08:14 AM;BPI-023-CO 2021-03-10 06:43 AM;BPI-023-CO 2021-03-10 07:17 AM;BPI-023-CO 2021-03-10 08:47 AM;BPI-023-CO 2021-07-21 05:55 AM;BPI-023-CO 2021-07-21 06:57 AM;NA;NA
24;BPI-024-CO 2019-08-28 06:19 AM;BPI-024-CO 2019-08-28 06:41 AM;BPI-024-CO 2019-08-29 07:30 AM;BPI-024-CO 2019-08-29 07:52 AM;BPI-024-CO 2020-01-28 07:48 AM;BPI-024-CO 2020-01-28 08:04 AM;BPI-024-CO 2020-01-29 06:19 AM;BPI-024-CO 2020-01-29 06:51 AM;BPI-024-CO 2020-08-31 06:15 AM;BPI-024-CO 2020-08-31 07:57 AM;BPI-024-CO 2020-09-29 06:08 AM;BPI-024-CO 2020-09-29 09:10 AM;BPI-024-CO 2021-02-16 06:44 AM;BPI-024-CO 2021-02-16 07:43 AM;BPI-024-CO 2021-03-10 05:47 AM;BPI-024-CO 2021-03-10 09:47 AM;BPI-024-CO 2021-07-21 06:23 AM;BPI-024-CO 2021-07-21 07:56 AM;NA;NA
25;BPI-025-CO 2019-08-28 05:57 AM;BPI-025-CO 2019-08-28 06:18 AM;BPI-025-CO 2019-08-29 07:52 AM;BPI-025-CO 2019-08-29 08:09 AM;BPI-025-CO 2020-01-28 08:06 AM;BPI-025-CO 2020-01-28 08:24 AM;BPI-025-CO 2020-01-29 06:18 AM;BPI-025-CO 2020-01-29 06:36 AM;BPI-025-CO 2020-08-31 06:38 AM;BPI-025-CO 2020-08-31 07:41 AM;BPI-025-CO 2020-09-29 05:50 AM;BPI-025-CO 2020-09-29 08:55 AM;BPI-025-CO 2021-02-16 06:23 AM;BPI-025-CO 2021-02-16 08:06 AM;BPI-025-CO 2021-03-10 06:04 AM;BPI-025-CO 2021-03-10 09:36 AM;BPI-025-CO 2021-07-21 06:06 AM;BPI-025-CO 2021-07-21 08:07 AM;NA;NA
26;BPI-026-CO 2019-08-28 05:51 AM;BPI-026-CO 2019-08-28 06:35 AM;BPI-026-CO 2019-08-29 07:30 AM;BPI-026-CO 2019-08-29 08:07 AM;BPI-026-CO 2020-01-28 07:45 AM;BPI-026-CO 2020-01-28 08:28 AM;BPI-026-CO 2020-01-29 06:35 AM;BPI-026-CO 2020-01-29 06:54 AM;BPI-026-CO 2020-08-31 05:56 AM;BPI-026-CO 2020-08-31 07:24 AM;BPI-026-CO 2020-09-29 06:29 AM;BPI-026-CO 2020-09-29 08:40 AM;BPI-026-CO 2021-02-16 06:04 AM;BPI-026-CO 2021-02-16 08:25 AM;BPI-026-CO 2021-03-10 06:20 AM;BPI-026-CO 2021-03-10 09:22 AM;BPI-026-CO 2021-07-21 05:53 AM;BPI-026-CO 2021-07-21 08:24 AM;NA;NA
27;BPI-027-CO 2019-09-17 08:15 AM;BPI-027-CO 2019-09-17 08:31 AM;BPI-027-CO 2019-09-20 06:11 AM;BPI-027-CO 2019-09-20 06:28 AM;NA;NA;NA;NA;BPI-027-CO 2020-08-28 07:08 AM;BPI-027-CO 2020-08-28 07:30 AM;BPI-027-CO 2020-09-23 06:22 AM;BPI-027-CO 2020-09-23 06:45 AM;BPI-027-CO 2021-02-26 06:26 AM;BPI-027-CO 2021-02-26 07:43 AM;BPI-027-CO 2021-03-24 08:09 AM;BPI-027-CO 2021-03-24 08:41 AM;BPI-027-CO 2021-08-05 08:17 AM;BPI-027-CO 2021-08-05 08:38 AM;NA;BPI-027-CO 2021-09-24 08:29 AM
28;BPI-028-CO 2019-09-17 08:50 AM;BPI-028-CO 2019-09-17 09:04 AM;BPI-028-CO 2019-09-20 06:54 AM;BPI-028-CO 2019-09-20 07:08 AM;NA;NA;NA;NA;BPI-028-CO 2020-08-28 07:14 AM;BPI-028-CO 2020-08-28 07:55 AM;BPI-028-CO 2020-09-22 05:46 AM;BPI-028-CO 2020-09-23 05:59 AM;BPI-028-CO 2021-02-26 06:57 AM;BPI-028-CO 2021-02-26 08:09 AM;BPI-028-CO 2021-03-24 07:38 AM;BPI-028-CO 2021-03-24 08:19 AM;BPI-028-CO 2021-08-05 08:02 AM;BPI-028-CO 2021-08-05 08:41 AM;NA;BPI-028-CO 2021-09-24 08:04 AM
29;BPI-029-CO 2019-09-17 09:23 AM;BPI-029-CO 2019-09-17 09:37 AM;BPI-029-CO 2019-09-20 07:33 AM;BPI-029-CO 2019-09-20 07:48 AM;NA;NA;NA;NA;BPI-029-CO 2020-09-02 05:55 AM;BPI-029-CO 2020-09-02 06:46 AM;BPI-029-CO 2020-09-17 07:17 AM;BPI-029-CO 2020-09-17 07:36 AM;BPI-029-CO 2020-09-17 07:36 AM;BPI-029-CO 2021-02-24 06:30 AM;BPI-029-CO 2021-02-24 09:04 AM;BPI-029-CO 2021-02-24 09:53 AM;BPI-029-CO 2021-08-04 08:09 AM;BPI-029-CO 2021-08-04 08:55 AM;BPI-029-CO 2021-08-04 09:11 AM;BPI-029-CO 2021-09-13 06:07 AM
30;BPI-030-CO 2019-08-23 07:16 AM;BPI-030-CO 2019-08-23 09:10 AM;BPI-030-CO 2019-08-27 06:08 AM;BPI-030-CO 2019-08-27 07:47 AM;NA;NA;NA;NA;BPI-030-CO 2020-09-02 07:08 AM;BPI-030-CO 2020-09-02 07:52 AM;BPI-030-CO 2020-09-17 05:37 AM;BPI-030-CO 2020-09-17 08:01 AM;BPI-030-CO 2021-02-24 08:15 AM;BPI-030-CO 2021-02-24 08:39 AM;BPI-030-CO 2021-02-24 09:08 AM;BPI-030-CO 2021-03-27 08:56 AM;BPI-030-CO 2021-08-04 06:09 AM;BPI-030-CO 2021-08-04 07:45 AM;BPI-030-CO 2021-08-04 08:35 AM;BPI-030-CO 2021-09-13 08:43 AM
