;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
64;BPI-064-CO 2019-09-03 06:49 AM;BPI-064-CO 2019-09-03 07:08 AM;BPI-064-CO 2019-09-04 06:39 AM;BPI-064-CO 2019-09-04 06:51 AM;BPI-064-CO 2020-01-21 05:53 AM;BPI-064-CO 2020-01-21 06:12 AM;BPI-064-CO 2020-01-23 09:11 AM;BPI-064-CO 2020-01-31 06:28 AM;BPI-064-CO 2020-08-13 07:20 AM;BPI-064-CO 2020-08-13 09:08 AM;BPI-064-CO 2020-09-10 07:26 AM;BPI-064-CO 2020-09-10 08:15 AM;BPI-064-CO 2021-02-12 06:33 AM;BPI-064-CO 2021-02-15 07:10 AM;BPI-064-CO 2021-02-15 08:25 AM;BPI-064-CO 2021-03-09 08:58 AM;BPI-064-CO 2021-07-19 06:21 AM;BPI-064-CO 2021-07-19 08:28 AM;BPI-064-CO 2021-07-19 08:46 AM;BPI-064-CO 2021-08-16 07:50 AM
65;BPI-065-CO 2019-09-05 07:05 AM;BPI-065-CO 2019-09-05 07:32 AM;BPI-065-CO 2019-09-06 06:30 AM;BPI-065-CO 2019-09-06 06:55 AM;NA;NA;NA;NA;BPI-065-CO 2020-08-28 06:40 AM;NA;NA;NA;BPI-065-CO 2021-02-26 06:37 AM;BPI-065-CO 2021-02-26 08:09 AM;BPI-065-CO 2021-03-24 07:08 AM;BPI-065-CO 2021-03-24 09:37 AM;BPI-065-CO 2021-08-05 07:04 AM;BPI-065-CO 2021-08-05 07:47 AM;NA;BPI-065-CO 2021-09-24 09:08 AM
66;BPI-066-CO 2019-09-05 06:44 AM;BPI-066-CO 2019-09-05 07:07 AM;BPI-066-CO 2019-09-06 06:12 AM;BPI-066-CO 2019-09-06 06:30 AM;NA;NA;NA;NA;BPI-066-CO 2020-08-28 06:19 AM;BPI-066-CO 2020-08-28 08:01 AM;BPI-066-CO 2020-09-23 08:40 AM;BPI-066-CO 2020-09-23 09:02 AM;BPI-066-CO 2021-02-26 06:16 AM;BPI-066-CO 2021-02-26 07:44 AM;BPI-066-CO 2021-03-24 07:34 AM;NA;BPI-066-CO 2021-08-05 07:26 AM;NA;BPI-066-CO 2021-09-24 09:25 AM;BPI-066-CO 2021-09-24 09:38 AM
67;BPI-067-CO 2019-09-05 06:45 AM;BPI-067-CO 2019-09-05 07:32 AM;BPI-067-CO 2019-09-06 06:07 AM;BPI-067-CO 2019-09-06 06:56 AM;NA;NA;NA;NA;BPI-067-CO 2020-08-28 06:00 AM;BPI-067-CO 2020-08-28 07:35 AM;BPI-067-CO 2020-09-22 08:55 AM;BPI-067-CO 2020-09-23 08:08 AM;BPI-067-CO 2021-02-26 07:03 AM;BPI-067-CO 2021-02-26 07:22 AM;BPI-067-CO 2021-03-24 07:53 AM;BPI-067-CO 2021-03-24 09:02 AM;BPI-067-CO 2021-08-05 07:41 AM;BPI-067-CO 2021-08-05 09:10 AM;NA;BPI-067-CO 2021-09-24 07:41 AM
68;BPI-068-CO 2019-10-22 07:08 AM;BPI-068-CO 2019-10-22 07:38 AM;BPI-068-CO 2019-10-24 07:36 AM;BPI-068-CO 2019-10-24 07:52 AM;BPI-068-CO 2020-02-18 07:10 AM;BPI-068-CO 2020-02-19 08:14 AM;NA;NA;BPI-068-CO 2020-08-10 06:32 AM;BPI-068-CO 2020-08-10 06:48 AM;BPI-068-CO 2020-09-07 06:22 AM;BPI-068-CO 2020-09-07 07:13 AM;BPI-068-CO 2021-02-10 06:18 AM;BPI-068-CO 2021-02-10 07:08 AM;BPI-068-CO 2021-02-10 08:00 AM;BPI-068-CO 2021-02-23 07:15 AM;BPI-068-CO 2021-07-26 06:04 AM;BPI-068-CO 2021-09-14 07:55 AM;BPI-068-CO 2021-09-14 08:11 AM;BPI-068-CO 2021-09-14 09:42 AM
69;BPI-069-CO 2019-10-22 07:04 AM;BPI-069-CO 2019-10-22 07:24 AM;BPI-069-CO 2019-10-24 08:39 AM;BPI-069-CO 2019-10-24 08:53 AM;BPI-069-CO 2020-02-18 06:40 AM;BPI-069-CO 2020-02-19 08:42 AM;NA;NA;BPI-069-CO 2020-08-10 05:55 AM;BPI-069-CO 2020-08-10 06:13 AM;BPI-069-CO 2020-09-07 06:29 AM;BPI-069-CO 2020-09-07 07:29 AM;BPI-069-CO 2021-02-10 06:34 AM;BPI-069-CO 2021-02-10 07:34 AM;BPI-069-CO 2021-02-10 08:06 AM;BPI-069-CO 2021-02-23 06:49 AM;BPI-069-CO 2021-07-26 06:36 AM;BPI-069-CO 2021-09-14 07:22 AM;BPI-069-CO 2021-09-14 07:37 AM;BPI-069-CO 2021-09-14 08:29 AM
70;BPI-070-CO 2019-10-22 06:10 AM;BPI-070-CO 2019-10-22 06:41 AM;BPI-070-CO 2019-10-24 09:01 AM;BPI-070-CO 2019-10-24 09:16 AM;BPI-070-CO 2020-02-18 06:26 AM;BPI-070-CO 2020-02-19 08:55 AM;NA;NA;BPI-070-CO 2020-08-10 06:15 AM;NA;BPI-070-CO 2020-09-07 06:12 AM;BPI-070-CO 2020-09-07 07:46 AM;BPI-070-CO 2021-02-10 06:18 AM;BPI-070-CO 2021-02-10 07:19 AM;BPI-070-CO 2021-02-10 08:27 AM;BPI-070-CO 2021-02-23 06:35 AM;BPI-070-CO 2021-07-26 06:51 AM;BPI-070-CO 2021-09-14 07:07 AM;BPI-070-CO 2021-09-14 07:22 AM;BPI-070-CO 2021-09-14 08:43 AM
71;BPI-072-CO 2019-10-10 07:00 AM;NA;BPI-072-CO 2019-10-16 06:14 AM;BPI-072-CO 2019-10-16 07:39 AM;BPI-072-CO 2020-01-21 07:41 AM;BPI-072-CO 2020-01-21 08:03 AM;BPI-072-CO 2020-01-23 07:36 AM;NA;BPI-072-CO 2020-08-13 07:03 AM;BPI-072-CO 2020-08-13 08:08 AM;NA;BPI-072-CO 2020-09-10 09:41 AM;BPI-072-CO 2021-02-15 06:28 AM;BPI-072-CO 2021-02-15 08:03 AM;BPI-072-CO 2021-02-15 08:38 AM;BPI-072-CO 2021-03-09 07:54 AM;BPI-072-CO 2021-07-19 06:51 AM;BPI-072-CO 2021-07-19 07:15 AM;BPI-072-CO 2021-07-19 08:09 AM;BPI-072-CO 2021-08-16 07:06 AM
72;BPI-073-CO 2019-10-26 05:53 AM;BPI-073-CO 2019-10-26 06:10 AM;BPI-073-CO 2019-10-26 08:35 AM;BPI-073-CO 2019-10-26 08:50 AM;NA;BPI-073-CO 2020-02-04 09:37 AM;BPI-073-CO 2020-03-06 05:54 AM;BPI-073-CO 2020-03-06 07:15 AM;BPI-073-CO 2020-08-26 06:39 AM;BPI-073-CO 2020-08-26 09:27 AM;BPI-073-CO 2020-09-30 07:39 AM;NA;BPI-073-CO 2021-02-17 06:05 AM;BPI-073-CO 2021-02-17 07:18 AM;BPI-073-CO 2021-02-17 08:59 AM;BPI-073-CO 2021-02-22 09:41 AM;BPI-073-CO 2021-07-23 08:56 AM;BPI-073-CO 2021-07-28 07:27 AM;BPI-073-CO 2021-08-15 09:00 AM;BPI-073-CO 2021-08-29 06:52 AM
73;BPI-074-CO 2019-10-17 07:09 AM;BPI-074-CO 2019-10-17 07:51 AM;BPI-074-CO 2019-10-18 07:34 AM;BPI-074-CO 2019-10-18 07:49 AM;BPI-074-CO 2020-02-03 06:58 AM;BPI-074-CO 2020-02-03 07:16 AM;BPI-074-CO 2020-02-04 08:48 AM;BPI-074-CO 2020-02-04 09:14 AM;BPI-074-CO 2020-09-03 08:04 AM;BPI-074-CO 2020-09-03 08:50 AM;BPI-074-CO 2020-09-21 07:48 AM;BPI-074-CO 2020-09-21 09:15 AM;BPI-074-CO 2021-03-04 06:55 AM;BPI-074-CO 2021-03-29 07:23 AM;BPI-074-CO 2021-03-29 07:45 AM;BPI-074-CO 2021-04-06 09:58 AM;BPI-074-CO 2021-08-26 06:18 AM;BPI-074-CO 2021-08-26 06:39 AM;BPI-074-CO 2021-08-26 08:05 AM;BPI-074-CO 2021-08-26 08:20 AM
74;BPI-075-CO 2019-10-17 07:36 AM;BPI-075-CO 2019-10-17 08:21 AM;BPI-075-CO 2019-10-18 08:15 AM;BPI-075-CO 2019-10-18 08:30 AM;BPI-075-CO 2020-02-03 06:33 AM;BPI-075-CO 2020-02-03 07:37 AM;BPI-075-CO 2020-02-04 08:26 AM;BPI-075-CO 2020-02-04 09:35 AM;BPI-075-CO 2020-09-03 07:11 AM;BPI-075-CO 2020-09-03 08:24 AM;BPI-075-CO 2020-09-21 07:24 AM;BPI-075-CO 2020-09-21 08:46 AM;BPI-075-CO 2021-03-04 07:26 AM;BPI-075-CO 2021-03-29 06:47 AM;BPI-075-CO 2021-03-29 08:10 AM;BPI-075-CO 2021-04-06 09:46 AM;BPI-075-CO 2021-08-26 07:12 AM;BPI-075-CO 2021-08-26 07:34 AM;BPI-075-CO 2021-08-26 08:43 AM;BPI-075-CO 2021-08-26 09:00 AM
75;BPI-076-CO 2019-10-17 06:55 AM;BPI-076-CO 2019-10-17 08:00 AM;BPI-076-CO 2019-10-18 06:34 AM;BPI-076-CO 2019-10-18 09:10 AM;BPI-076-CO 2020-02-03 08:44 AM;BPI-076-CO 2020-02-03 09:03 AM;BPI-076-CO 2020-02-04 06:47 AM;BPI-076-CO 2020-02-04 07:05 AM;BPI-076-CO 2020-09-03 06:14 AM;BPI-076-CO 2020-09-03 08:00 AM;BPI-076-CO 2020-09-21 06:51 AM;BPI-076-CO 2020-09-21 08:09 AM;BPI-076-CO 2021-03-04 08:00 AM;BPI-076-CO 2021-03-29 08:40 AM;BPI-076-CO 2021-03-29 08:59 AM;BPI-076-CO 2021-04-06 08:58 AM;BPI-076-CO 2021-08-26 06:32 AM;BPI-076-CO 2021-08-26 07:25 AM;BPI-076-CO 2021-08-26 08:14 AM;BPI-076-CO 2021-08-26 08:39 AM
76;BPI-077-CO 2019-10-17 07:15 AM;BPI-077-CO 2019-10-17 08:18 AM;BPI-077-CO 2019-10-18 06:54 AM;BPI-077-CO 2019-10-18 08:52 AM;BPI-077-CO 2020-02-03 08:02 AM;BPI-077-CO 2020-02-03 08:23 AM;BPI-077-CO 2020-02-04 07:30 AM;BPI-077-CO 2020-02-04 07:50 AM;BPI-077-CO 2020-09-03 06:47 AM;BPI-077-CO 2020-09-03 07:34 AM;BPI-077-CO 2020-09-21 06:25 AM;BPI-077-CO 2020-09-21 07:49 AM;BPI-077-CO 2021-03-04 08:20 AM;BPI-077-CO 2021-03-29 09:19 AM;BPI-077-CO 2021-03-29 09:37 AM;BPI-077-CO 2021-04-06 09:20 AM;BPI-077-CO 2021-08-26 06:50 AM;BPI-077-CO 2021-08-26 07:08 AM;BPI-077-CO 2021-08-26 08:56 AM;BPI-077-CO 2021-08-26 09:09 AM
77;BPI-078-CO 2019-11-08 08:40 AM;BPI-078-CO 2019-11-08 08:53 AM;BPI-078-CO 2019-11-12 08:01 AM;BPI-078-CO 2019-11-12 08:19 AM;BPI-078-CO 2020-02-13 08:54 AM;BPI-078-CO 2020-02-13 09:11 AM;BPI-078-CO 2020-03-07 06:20 AM;BPI-078-CO 2020-03-18 07:27 AM;BPI-078-CO 2020-08-20 08:14 AM;BPI-078-CO 2020-08-20 09:38 AM;BPI-078-CO 2020-09-08 08:23 AM;NA;BPI-078-CO 2021-01-28 07:49 AM;BPI-078-CO 2021-03-03 09:03 AM;BPI-078-CO 2021-03-30 06:21 AM;BPI-078-CO 2021-04-01 06:23 AM;BPI-078-CO 2021-08-09 08:21 AM;BPI-078-CO 2021-08-16 07:03 AM;NA;BPI-078-CO 2021-09-08 06:36 AM
78;BPI-079-CO 2019-10-18 05:54 AM;BPI-079-CO 2019-10-21 06:24 AM;BPI-079-CO 2019-10-21 06:53 AM;BPI-079-CO 2019-10-21 08:04 AM;BPI-079-CO 2020-02-03 09:24 AM;BPI-079-CO 2020-02-04 06:23 AM;BPI-079-CO 2020-02-07 07:23 AM;BPI-079-CO 2020-02-10 06:24 AM;BPI-079-CO 2020-08-21 07:27 AM;BPI-079-CO 2020-08-21 08:27 AM;BPI-079-CO 2020-09-21 06:52 AM;BPI-079-CO 2020-09-21 08:19 AM;BPI-079-CO 2021-02-22 09:16 AM;BPI-079-CO 2021-02-22 09:30 AM;BPI-079-CO 2021-03-04 06:10 AM;NA;BPI-079-CO 2021-07-28 07:11 AM;BPI-079-CO 2021-08-15 08:41 AM;BPI-079-CO 2021-08-29 05:50 AM;BPI-079-CO 2021-08-29 06:34 AM
79;BPI-080-CO 2019-10-07 05:49 AM;BPI-080-CO 2019-10-07 07:45 AM;BPI-080-CO 2019-10-12 07:26 AM;BPI-080-CO 2019-10-12 07:47 AM;BPI-080-CO 2020-03-05 05:59 AM;BPI-080-CO 2020-03-05 07:28 AM;BPI-080-CO 2020-03-05 08:58 AM;BPI-080-CO 2020-03-05 09:12 AM;BPI-080-CO 2020-08-20 06:25 AM;NA;BPI-080-CO 2020-09-26 08:25 AM;BPI-080-CO 2020-09-26 08:45 AM;BPI-080-CO 2021-02-08 06:12 AM;BPI-080-CO 2021-02-08 07:04 AM;BPI-080-CO 2021-02-08 07:24 AM;BPI-080-CO 2021-03-09 07:26 AM;BPI-080-CO 2021-07-29 08:06 AM;BPI-080-CO 2021-08-23 07:30 AM;BPI-080-CO 2021-08-23 09:12 AM;BPI-080-CO 2021-09-09 06:15 AM
80;BPI-081-CO 2019-10-25 06:21 AM;BPI-081-CO 2019-10-25 07:18 AM;BPI-081-CO 2019-10-26 06:31 AM;BPI-081-CO 2019-10-26 08:11 AM;BPI-081-CO 2020-02-03 07:57 AM;BPI-081-CO 2020-02-03 08:14 AM;BPI-081-CO 2020-02-04 07:58 AM;BPI-081-CO 2020-02-04 08:54 AM;BPI-081-CO 2020-08-26 07:59 AM;BPI-081-CO 2020-08-26 09:47 AM;BPI-081-CO 2020-09-30 08:07 AM;BPI-081-CO 2020-09-30 09:24 AM;BPI-081-CO 2021-02-17 06:32 AM;BPI-081-CO 2021-02-17 07:22 AM;BPI-081-CO 2021-02-17 07:51 AM;BPI-081-CO 2021-04-06 07:24 AM;BPI-081-CO 2021-07-23 07:07 AM;BPI-081-CO 2021-08-29 07:17 AM;BPI-081-CO 2021-08-29 08:07 AM;BPI-081-CO 2021-08-29 08:48 AM
81;BPI-082-CO 2019-10-25 06:46 AM;BPI-082-CO 2019-10-25 07:25 AM;BPI-082-CO 2019-10-26 07:18 AM;BPI-082-CO 2019-10-26 07:59 AM;BPI-082-CO 2020-02-03 06:41 AM;BPI-082-CO 2020-02-03 06:55 AM;BPI-082-CO 2020-02-04 08:22 AM;BPI-082-CO 2020-02-04 08:45 AM;BPI-082-CO 2020-08-26 07:30 AM;BPI-082-CO 2020-08-26 08:48 AM;BPI-082-CO 2020-09-30 08:49 AM;BPI-082-CO 2020-09-30 10:06 AM;BPI-082-CO 2021-02-17 07:23 AM;BPI-082-CO 2021-02-17 08:12 AM;BPI-082-CO 2021-02-17 08:32 AM;BPI-082-CO 2021-04-06 08:15 AM;BPI-082-CO 2021-07-23 07:36 AM;BPI-082-CO 2021-08-29 07:59 AM;BPI-082-CO 2021-08-29 08:44 AM;BPI-082-CO 2021-08-29 09:16 AM
82;BPI-083-CO 2019-10-25 06:20 AM;BPI-083-CO 2019-10-25 06:50 AM;BPI-083-CO 2019-10-26 06:56 AM;BPI-083-CO 2020-02-03 07:18 AM;BPI-083-CO 2020-02-03 07:34 AM;BPI-083-CO 2020-02-03 08:58 AM;BPI-083-CO 2020-02-04 08:02 AM;BPI-083-CO 2020-02-04 08:23 AM;BPI-083-CO 2020-08-26 07:04 AM;BPI-083-CO 2020-08-26 08:19 AM;BPI-083-CO 2020-09-30 08:26 AM;BPI-083-CO 2020-09-30 09:50 AM;BPI-083-CO 2021-02-17 07:01 AM;BPI-083-CO 2021-02-17 07:54 AM;BPI-083-CO 2021-02-17 08:55 AM;BPI-083-CO 2021-04-06 07:47 AM;BPI-083-CO 2021-07-23 07:20 AM;BPI-083-CO 2021-08-29 07:39 AM;BPI-083-CO 2021-08-29 08:25 AM;BPI-083-CO 2021-08-29 09:31 AM
83;BPI-084-CO 2019-09-30 06:49 AM;BPI-084-CO 2019-09-30 08:18 AM;BPI-084-CO 2019-10-01 06:23 AM;BPI-084-CO 2019-10-01 07:27 AM;BPI-084-CO 2020-02-09 06:49 AM;BPI-084-CO 2020-02-09 07:38 AM;BPI-084-CO 2020-02-11 06:41 AM;BPI-084-CO 2020-02-11 06:57 AM;BPI-084-CO 2020-08-14 06:42 AM;BPI-084-CO 2020-08-14 07:25 AM;BPI-084-CO 2020-09-11 06:17 AM;BPI-084-CO 2020-09-11 07:29 AM;BPI-084-CO 2021-02-05 06:34 AM;BPI-084-CO 2021-02-05 07:45 AM;BPI-084-CO 2021-03-15 07:12 AM;BPI-084-CO 2021-03-15 07:48 AM;BPI-084-CO 2021-08-02 06:35 AM;BPI-084-CO 2021-08-02 08:48 AM;BPI-084-CO 2021-08-02 09:00 AM;BPI-084-CO 2021-09-13 07:18 AM
84;BPI-085-CO 2019-09-30 06:29 AM;BPI-085-CO 2019-09-30 08:03 AM;BPI-085-CO 2019-10-01 06:03 AM;BPI-085-CO 2019-10-01 07:10 AM;BPI-085-CO 2020-02-09 06:30 AM;BPI-085-CO 2020-02-09 07:19 AM;BPI-085-CO 2020-02-11 06:37 AM;BPI-085-CO 2020-02-11 08:03 AM;BPI-085-CO 2020-08-14 06:22 AM;BPI-085-CO 2020-08-14 07:06 AM;BPI-085-CO 2020-09-11 06:00 AM;BPI-085-CO 2020-09-11 07:47 AM;BPI-085-CO 2021-02-05 06:16 AM;BPI-085-CO 2021-02-05 08:06 AM;BPI-085-CO 2021-03-15 06:53 AM;BPI-085-CO 2021-03-15 07:29 AM;BPI-085-CO 2021-08-02 06:16 AM;BPI-085-CO 2021-08-02 09:04 AM;BPI-085-CO 2021-08-02 09:27 AM;BPI-085-CO 2021-09-13 07:36 AM
85;BPI-086-CO 2019-09-30 07:24 AM;BPI-086-CO 2019-09-30 07:57 AM;BPI-086-CO 2019-10-01 06:47 AM;BPI-086-CO 2019-10-01 07:40 AM;BPI-086-CO 2020-02-09 06:59 AM;BPI-086-CO 2020-02-09 07:57 AM;BPI-086-CO 2020-02-11 07:31 AM;BPI-086-CO 2020-02-11 08:26 AM;BPI-086-CO 2020-08-14 05:58 AM;BPI-086-CO 2020-08-14 06:46 AM;BPI-086-CO 2020-09-11 06:41 AM;BPI-086-CO 2020-09-11 08:04 AM;BPI-086-CO 2021-02-05 06:24 AM;BPI-086-CO 2021-02-05 08:08 AM;BPI-086-CO 2021-03-15 06:34 AM;BPI-086-CO 2021-03-15 07:09 AM;BPI-086-CO 2021-08-02 05:57 AM;BPI-086-CO 2021-08-02 07:40 AM;BPI-086-CO 2021-08-02 08:05 AM;BPI-086-CO 2021-09-13 06:17 AM
86;BPI-087-CO 2019-09-30 07:00 AM;BPI-087-CO 2019-09-30 07:36 AM;BPI-087-CO 2019-10-01 06:25 AM;BPI-087-CO 2019-10-01 07:18 AM;BPI-087-CO 2020-02-09 07:31 AM;BPI-087-CO 2020-02-09 08:24 AM;BPI-087-CO 2020-02-11 07:37 AM;BPI-087-CO 2020-02-11 07:52 AM;BPI-087-CO 2020-08-14 06:00 AM;BPI-087-CO 2020-08-14 07:24 AM;BPI-087-CO 2020-09-11 06:52 AM;BPI-087-CO 2020-09-11 07:04 AM;BPI-087-CO 2021-02-05 06:47 AM;BPI-087-CO 2021-02-05 07:42 AM;BPI-087-CO 2021-03-15 07:57 AM;BPI-087-CO 2021-03-15 08:41 AM;BPI-087-CO 2021-08-02 07:26 AM;BPI-087-CO 2021-08-02 08:06 AM;BPI-087-CO 2021-08-02 08:24 AM;BPI-087-CO 2021-09-13 06:38 AM
87;BPI-088-CO 2019-09-30 06:31 AM;BPI-088-CO 2019-09-30 07:11 AM;BPI-088-CO 2019-10-01 06:00 AM;BPI-088-CO 2019-10-01 06:49 AM;BPI-088-CO 2020-02-09 07:10 AM;BPI-088-CO 2020-02-09 08:00 AM;BPI-088-CO 2020-02-11 07:04 AM;BPI-088-CO 2020-02-11 07:23 AM;BPI-088-CO 2020-08-14 06:19 AM;BPI-088-CO 2020-08-14 07:02 AM;BPI-088-CO 2020-09-11 06:21 AM;BPI-088-CO 2020-09-11 07:29 AM;BPI-088-CO 2021-02-05 07:00 AM;BPI-088-CO 2021-02-05 07:13 AM;BPI-088-CO 2021-03-15 07:30 AM;BPI-088-CO 2021-03-15 08:10 AM;BPI-088-CO 2021-08-02 06:51 AM;BPI-088-CO 2021-08-02 08:27 AM;BPI-088-CO 2021-08-02 08:40 AM;BPI-088-CO 2021-09-13 06:59 AM
88;BPI-089-CO 2019-10-02 08:50 AM;BPI-089-CO 2019-10-02 09:20 AM;BPI-089-CO 2019-10-03 06:54 AM;BPI-089-CO 2019-10-03 07:29 AM;BPI-089-CO 2020-02-22 08:12 AM;BPI-089-CO 2020-02-22 08:26 AM;BPI-089-CO 2020-02-24 07:32 AM;BPI-089-CO 2020-02-24 07:48 AM;BPI-089-CO 2020-08-17 08:59 AM;BPI-089-CO 2020-08-17 09:35 AM;BPI-089-CO 2020-09-15 07:12 AM;BPI-089-CO 2020-09-15 10:32 AM;NA;BPI-089-CO 2021-03-03 09:21 AM;BPI-089-CO 2021-03-25 08:28 AM;BPI-089-CO 2021-03-26 07:55 AM;BPI-089-CO 2021-07-31 06:38 AM;BPI-089-CO 2021-09-01 06:49 AM;BPI-089-CO 2021-09-19 07:55 AM;BPI-089-CO 2021-09-19 08:39 AM
89;BPI-090-CO 2019-10-02 09:00 AM;BPI-090-CO 2019-10-02 09:25 AM;BPI-090-CO 2019-10-03 07:03 AM;BPI-090-CO 2019-10-03 07:22 AM;BPI-090-CO 2020-02-22 08:53 AM;BPI-090-CO 2020-02-22 09:11 AM;BPI-090-CO 2020-02-24 06:55 AM;BPI-090-CO 2020-02-24 07:10 AM;NA;BPI-090-CO 2020-08-17 09:48 AM;BPI-090-CO 2020-09-15 06:52 AM;BPI-090-CO 2020-09-15 10:13 AM;NA;BPI-090-CO 2021-03-03 08:51 AM;BPI-090-CO 2021-03-25 08:06 AM;BPI-090-CO 2021-03-26 07:39 AM;BPI-090-CO 2021-07-31 06:59 AM;BPI-090-CO 2021-07-31 09:38 AM;BPI-090-CO 2021-09-01 06:25 AM;BPI-090-CO 2021-09-19 07:35 AM
90;BPI-091-CO 2019-10-02 07:35 AM;BPI-091-CO 2019-10-02 07:58 AM;BPI-091-CO 2019-10-03 08:12 AM;BPI-091-CO 2019-10-03 08:32 AM;BPI-091-CO 2020-02-22 06:42 AM;BPI-091-CO 2020-02-22 07:00 AM;BPI-091-CO 2020-02-24 08:56 AM;BPI-091-CO 2020-02-24 09:17 AM;BPI-091-CO 2020-08-14 09:07 AM;BPI-091-CO 2020-08-14 09:27 AM;BPI-091-CO 2020-09-15 05:52 AM;BPI-091-CO 2020-09-15 08:44 AM;BPI-091-CO 2021-03-03 07:25 AM;NA;BPI-091-CO 2021-03-26 06:29 AM;NA;BPI-091-CO 2021-07-30 09:26 AM;BPI-091-CO 2021-07-31 05:44 AM;BPI-091-CO 2021-07-31 08:39 AM;BPI-091-CO 2021-09-01 07:35 AM
91;BPI-092-CO 2019-10-02 07:29 AM;BPI-092-CO 2019-10-02 08:00 AM;BPI-092-CO 2019-10-03 08:07 AM;BPI-092-CO 2019-10-03 08:35 AM;BPI-092-CO 2020-02-22 07:23 AM;BPI-092-CO 2020-02-22 07:42 AM;BPI-092-CO 2020-02-24 08:17 AM;BPI-092-CO 2020-02-24 08:32 AM;BPI-092-CO 2020-08-14 08:38 AM;BPI-092-CO 2020-08-14 09:11 AM;BPI-092-CO 2020-09-15 06:15 AM;BPI-092-CO 2020-09-15 08:10 AM;BPI-092-CO 2021-03-03 08:14 AM;BPI-092-CO 2021-03-25 09:04 AM;BPI-092-CO 2021-03-25 09:29 AM;BPI-092-CO 2021-03-26 06:56 AM;BPI-092-CO 2021-07-30 09:43 AM;BPI-092-CO 2021-07-31 06:06 AM;BPI-092-CO 2021-07-31 09:04 AM;BPI-092-CO 2021-09-01 08:38 AM
92;BPI-093-CO 2019-09-13 06:10 AM;BPI-093-CO 2019-09-13 07:50 AM;BPI-093-CO 2019-09-16 07:22 AM;BPI-093-CO 2019-09-16 07:36 AM;BPI-093-CO 2020-02-05 08:41 AM;BPI-093-CO 2020-02-05 08:59 AM;BPI-093-CO 2020-02-21 06:26 AM;BPI-093-CO 2020-02-21 06:45 AM;BPI-093-CO 2020-08-17 06:28 AM;BPI-093-CO 2020-08-17 07:01 AM;BPI-093-CO 2020-09-15 07:15 AM;BPI-093-CO 2020-09-15 08:18 AM;BPI-093-CO 2021-02-18 07:21 AM;BPI-093-CO 2021-02-18 09:05 AM;BPI-093-CO 2021-03-23 06:56 AM;BPI-093-CO 2021-03-23 08:17 AM;BPI-093-CO 2021-07-30 08:31 AM;BPI-093-CO 2021-07-31 07:31 AM;BPI-093-CO 2021-07-31 08:48 AM;BPI-093-CO 2021-09-19 08:11 AM
93;BPI-094-CO 2019-09-13 06:39 AM;BPI-094-CO 2019-09-13 07:22 AM;BPI-094-CO 2019-09-16 08:01 AM;BPI-094-CO 2019-09-16 08:17 AM;BPI-094-CO 2020-02-05 08:16 AM;BPI-094-CO 2020-02-05 08:44 AM;BPI-094-CO 2020-02-21 07:08 AM;BPI-094-CO 2020-02-21 07:27 AM;BPI-094-CO 2020-08-17 06:26 AM;BPI-094-CO 2020-08-17 07:12 AM;BPI-094-CO 2020-09-15 06:51 AM;BPI-094-CO 2020-09-15 08:53 AM;BPI-094-CO 2021-02-18 06:57 AM;BPI-094-CO 2021-02-18 08:37 AM;BPI-094-CO 2021-03-23 06:33 AM;BPI-094-CO 2021-03-23 07:57 AM;BPI-094-CO 2021-07-30 08:03 AM;BPI-094-CO 2021-07-31 06:59 AM;BPI-094-CO 2021-07-31 08:28 AM;BPI-094-CO 2021-09-19 08:36 AM
94;BPI-095-CO 2019-09-13 06:57 AM;BPI-095-CO 2019-09-13 07:16 AM;BPI-095-CO 2019-09-16 08:35 AM;BPI-095-CO 2019-09-16 08:54 AM;BPI-095-CO 2020-02-05 07:59 AM;BPI-095-CO 2020-02-05 08:15 AM;BPI-095-CO 2020-02-21 07:48 AM;BPI-095-CO 2020-02-21 08:06 AM;BPI-095-CO 2020-08-17 06:05 AM;BPI-095-CO 2020-08-17 06:49 AM;BPI-095-CO 2020-09-15 06:33 AM;BPI-095-CO 2020-09-15 08:37 AM;BPI-095-CO 2021-02-18 06:39 AM;BPI-095-CO 2021-02-18 07:54 AM;BPI-095-CO 2021-03-23 06:12 AM;BPI-095-CO 2021-03-23 07:31 AM;BPI-095-CO 2021-07-30 07:45 AM;BPI-095-CO 2021-07-31 06:33 AM;BPI-095-CO 2021-07-31 08:10 AM;BPI-095-CO 2021-09-19 07:32 AM
