Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S58430264,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2019-07-22,06:25 AM,eBird - Stationary Count,15,1,,,2,,,BPI003
S58430323,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2019-07-23,06:30 AM,eBird - Stationary Count,11,1,,,2,,3,BPI003
S58430284,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2019-07-23,06:53 AM,eBird - Stationary Count,12,1,,,2,,1,BPI003
S63900191,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2020-01-29,07:42 AM,eBird - Stationary Count,10,1,,,2,,3,Café cortado a ras
S73689514,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2020-09-14,07:12 AM,eBird - Stationary Count,11,1,,,2,,,"CN 48, DB 40"
S92073014,Colombian Chachalaca,Ortalis columbiana,786,5,CO-ANT,,L9690818,BPI-002-CO,5.6161992,-75.8520128,2021-07-20,07:46 AM,eBird - Stationary Count,17,1,,,2,,,"DB, 52"
S58430328,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9690832,BPI-003-CO,5.6136509,-75.8497325,2019-07-23,05:45 AM,eBird - Stationary Count,12,1,,,2,,1,BPI005
S58430287,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9690832,BPI-003-CO,5.6136509,-75.8497325,2019-07-23,06:01 AM,eBird - Stationary Count,10,1,,,2,,3,BPI005
S64175314,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9690832,BPI-003-CO,5.6136509,-75.8497325,2020-01-29,07:22 AM,eBird - Stationary Count,11,1,,,2
S72682351,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9690832,BPI-003-CO,5.6136509,-75.8497325,2020-08-11,05:55 AM,eBird - Stationary Count,10,1,,,1,AC Ave Cantando,,"CN 45, db 33"
S58430313,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9690905,BPI-004-CO,5.6179526,-75.8464671,2019-07-23,08:59 AM,eBird - Stationary Count,10,1,,,2,,2,BPI011
S58430305,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9690905,BPI-004-CO,5.6179526,-75.8464671,2019-07-24,06:47 AM,eBird - Stationary Count,10,1,,,2,,3,BPI011
S72469779,Colombian Chachalaca,Ortalis columbiana,786,6,CO-ANT,,L9690905,BPI-004-CO,5.6179526,-75.8464671,2020-08-11,08:20 AM,eBird - Stationary Count,10,1,,,2,,6,"CN 32, DB 40"
S81741943,Colombian Chachalaca,Ortalis columbiana,786,8,CO-ANT,,L9690905,BPI-004-CO,5.6179526,-75.8464671,2021-02-09,08:25 AM,eBird - Stationary Count,13,1,,,2,,8,"DB 42, CN 75"
S83812293,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9690905,BPI-004-CO,5.6179526,-75.8464671,2021-03-18,07:34 AM,eBird - Stationary Count,11,1,,,2,,,"CN 90, DB 51"
