Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S83485907,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979117,BPI-084-CO,5.5905016,-75.869348,2021-03-15,07:12 AM,eBird - Stationary Count,10,1,,,2,,,"CN 70, DB 46"
S64541098,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979087,BPI-086-CO,5.5894677,-75.8664036,2020-02-09,06:59 AM,eBird - Stationary Count,10,1,,,2
S64297516,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979087,BPI-086-CO,5.5894677,-75.8664036,2020-02-09,07:57 AM,eBird - Stationary Count,10,1,,,2,,1
S83457001,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979087,BPI-086-CO,5.5894677,-75.8664036,2021-03-15,07:09 AM,eBird - Stationary Count,10,1,,,2,,,"CN 80, DB 49"
S73689109,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979084,BPI-087-CO,5.5881001,-75.8670407,2020-09-11,07:04 AM,eBird - Stationary Count,13,1,,,2,,,"CN 39, DB 30"
S80621250,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979084,BPI-087-CO,5.5881001,-75.8670407,2021-02-05,06:47 AM,eBird - Stationary Count,13,1,,,2,,,"CN41,DB 95"
S93026095,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9979084,BPI-087-CO,5.5881001,-75.8670407,2021-08-02,07:26 AM,eBird - Stationary Count,12,1,,,2,,,"DB, 56"
S60434665,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9984924,BPI-089-CO,5.5848779,-75.8636725,2019-10-02,09:20 AM,eBird - Stationary Count,12,1,,,2
S73689700,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L9984924,BPI-089-CO,5.5848779,-75.8636725,2020-09-15,07:12 AM,eBird - Stationary Count,10,1,,,2,,,"CN 35, DB 95"
S84057322,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9984924,BPI-089-CO,5.5848779,-75.8636725,2021-03-25,08:28 AM,eBird - Stationary Count,12,1,,,2,,,DB 39  CN 50
S60435583,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9984915,BPI-091-CO,5.5794201,-75.8638026,2019-10-03,08:12 AM,eBird - Stationary Count,11,1,,,2
S72467936,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L9984915,BPI-091-CO,5.5794201,-75.8638026,2020-08-14,09:27 AM,eBird - Stationary Count,13,1,,,1,,,"CN 36, DB 90"
S73723425,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L9984915,BPI-091-CO,5.5794201,-75.8638026,2020-09-15,08:44 AM,eBird - Stationary Count,16,1,,,1,,,"CN 100, db 33"
S92500728,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9984915,BPI-091-CO,5.5794201,-75.8638026,2021-07-30,09:26 AM,eBird - Stationary Count,11,1,,,2,,,DB 39
S59840744,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9921018,BPI-095-CO,5.5863711,-75.8593453,2019-09-13,06:57 AM,eBird - Stationary Count,10,1,,,2,,1
S81895526,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L12284673,BPI-097-CO,5.5832522,-75.8581452,2021-02-18,06:44 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 47"
S60640130,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10034295,BPI-102-CO,5.581472,-75.8625815,2019-10-15,07:30 AM,eBird - Stationary Count,10,1,,,2
S94795974,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10034295,BPI-102-CO,5.581472,-75.8625815,2021-09-17,08:26 AM,eBird - Stationary Count,10,1,,,2,,1,DB 43
S60563369,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023251,BPI-103-CO,5.5779119,-75.8601931,2019-10-11,07:01 AM,eBird - Stationary Count,11,1,,,2
S60563415,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023251,BPI-103-CO,5.5779119,-75.8601931,2019-10-11,07:41 AM,eBird - Traveling Count,13,1,.11,,2
S73732001,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023251,BPI-103-CO,5.5779119,-75.8601931,2020-09-18,06:40 AM,eBird - Stationary Count,12,1,,,1,AC Ave Cantando,,"Cn 50, dB 39"
S82196392,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023251,BPI-103-CO,5.5779119,-75.8601931,2021-02-23,06:52 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 49"
S82422414,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007358,BPI-107-CO,5.577721,-75.8523778,2021-02-25,07:42 AM,eBird - Stationary Count,10,1,,,2,,,"CN 90, DB 56"
S73079115,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007404,BPI-109-CO,5.5793378,-75.8532362,2020-09-01,06:37 AM,eBird - Stationary Count,13,1,,,2,,,"CN 43, DB 40"
S60436170,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004165,BPI-111-CO,5.5924318,-75.8284196,2019-10-07,06:33 AM,eBird - Stationary Count,11,1,,,2
S74247411,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004165,BPI-111-CO,5.5924318,-75.8284196,2020-09-26,06:01 AM,eBird - Stationary Count,12,1,,,2,,,"CN 33, DB 80"
S93729850,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004165,BPI-111-CO,5.5924318,-75.8284196,2021-08-23,08:20 AM,eBird - Stationary Count,10,1,,,2,,,DB 47
S60544199,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L10004162,BPI-112-CO,5.5936361,-75.8273296,2019-10-12,06:19 AM,eBird - Stationary Count,12,1,,,2
S84290829,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004162,BPI-112-CO,5.5936361,-75.8273296,2021-02-08,07:54 AM,eBird - Stationary Count,12,1,,,1,,Vocal,DB 36   CN 85
S80638126,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004162,BPI-112-CO,5.5936361,-75.8273296,2021-02-08,08:18 AM,eBird - Stationary Count,10,1,,,2
S93729839,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10004162,BPI-112-CO,5.5936361,-75.8273296,2021-08-23,08:00 AM,eBird - Stationary Count,10,1,,,2,,,DB 47
S65375571,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007423,BPI-116-CO,5.5947073,-75.8512269,2020-02-28,07:15 AM,eBird - Stationary Count,10,1,,,2
S83635110,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007423,BPI-116-CO,5.5947073,-75.8512269,2021-03-18,07:39 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 55"
S83635083,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10949459,BPI-117-CO,5.5962077,-75.8508329,2021-03-18,07:25 AM,eBird - Stationary Count,11,1,,,2,,,"CN 100, DB 55"
S92648092,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L10949459,BPI-117-CO,5.5962077,-75.8508329,2021-08-02,06:05 AM,eBird - Stationary Count,11,1,,,2,,,DB 38
S93231302,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10949459,BPI-117-CO,5.5962077,-75.8508329,2021-08-13,07:11 AM,eBird - Stationary Count,10,1,,,2,,1,DB 57
S94271782,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L10949459,BPI-117-CO,5.5962077,-75.8508329,2021-09-06,08:08 AM,eBird - Stationary Count,10,1,,,2,,,DB 58
S60469250,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007414,BPI-118-CO,5.597264,-75.8468388,2019-10-08,08:44 AM,eBird - Stationary Count,10,1,,,2
S65375548,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007414,BPI-118-CO,5.597264,-75.8468388,2020-02-28,07:44 AM,eBird - Stationary Count,11,1,,,2
S60456358,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10007347,BPI-119-CO,5.5865552,-75.8244126,2019-10-05,08:59 AM,eBird - Stationary Count,11,1,,,2,,1
S72469245,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023260,BPI-121-CO,5.5765831,-75.8590278,2020-08-12,07:48 AM,eBird - Stationary Count,10,1,,,2,,,"CN 54, DB 30"
S93615595,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023172,BPI-122-CO,5.5795022,-75.8576165,2021-08-20,07:44 AM,eBird - Stationary Count,10,1,,,2,,,DB 46
S60563307,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023244,BPI-123-CO,5.5796229,-75.8601758,2019-10-11,06:42 AM,eBird - Stationary Count,10,1,,,2
S73438154,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10077853,BPI-124-CO,5.6227646,-75.8537748,2020-09-10,07:25 AM,eBird - Stationary Count,12,1,,,2,,,"CN 35,DB 100"
S91980830,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10077853,BPI-124-CO,5.6227646,-75.8537748,2021-07-19,07:23 AM,eBird - Stationary Count,10,1,,,2,,,DB 39
S60719944,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10023131,BPI-125-CO,5.62427,-75.8550818,2019-10-16,07:03 AM,eBird - Stationary Count,11,1,,,2,,,Café cañada (tangara)
S93312001,White-tipped Dove,Leptotila verreauxi,2282,2,CO-ANT,,L10023131,BPI-125-CO,5.62427,-75.8550818,2021-08-16,08:29 AM,eBird - Stationary Count,12,1,,,2,,,DB 50
S83456899,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070608,BPI-127-CO,5.5903715,-75.864408,2021-03-15,06:37 AM,eBird - Stationary Count,10,1,,,2,,,"CN 90, DB 50"
S83485948,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070608,BPI-127-CO,5.5903715,-75.864408,2021-03-15,08:19 AM,eBird - Stationary Count,11,1,,,2,,,"CN 80, DB 42"
S72682237,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070611,BPI-128-CO,5.592743,-75.8655629,2020-08-10,09:32 AM,eBird - Stationary Count,10,1,,,1,AC Ave Cantando,,"CN 85, db 45"
S60921696,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070667,BPI-129-CO,5.5963856,-75.8701445,2019-10-24,08:25 AM,eBird - Stationary Count,10,1,,,2
S83822477,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070667,BPI-129-CO,5.5963856,-75.8701445,2021-02-23,07:03 AM,eBird - Stationary Count,10,1,,,2
S92643109,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070667,BPI-129-CO,5.5963856,-75.8701445,2021-07-26,06:21 AM,eBird - Stationary Count,11,1,,,2
S61985732,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235605,BPI-133-CO,5.5959071,-75.8424485,2019-11-15,07:33 AM,eBird - Stationary Count,11,1,,,2
S61985941,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235635,BPI-135-CO,5.609175,-75.8743569,2019-11-21,08:35 AM,eBird - Stationary Count,11,1,,,2,,,04lahondura
S74114435,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235635,BPI-135-CO,5.609175,-75.8743569,2020-09-27,07:36 AM,eBird - Stationary Count,17,1,,,1,AC Ave Cantando,,"Cn 100, db 38"
S94171534,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235635,BPI-135-CO,5.609175,-75.8743569,2021-09-03,07:46 AM,eBird - Stationary Count,10,1,,,2,,,DB 39
S64540726,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10070584,BPI-136-CO,5.6123265,-75.8278111,2020-02-10,07:55 AM,eBird - Stationary Count,10,1,,,2
S83003870,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-03-08,07:29 AM,eBird - Stationary Count,14,1,,,2,,,DB 42  Cn 100
S83004457,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-03-08,07:47 AM,eBird - Stationary Count,10,1,,,1,,,"CN 100, DB 40"
S83006584,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-03-08,08:26 AM,eBird - Stationary Count,11,1,,,2,,1,"CN 100, DB 46"
S61453536,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2019-11-14,08:31 AM,eBird - Stationary Count,10,1,,,2,,1,Eucaliptos
S93615746,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2021-08-21,07:04 AM,eBird - Stationary Count,10,1,,,2,,1,DB 48
S93615836,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2021-08-21,08:29 AM,eBird - Stationary Count,10,1,,,2,,,DB 53
S93615851,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10120323,BPI-143-CO,5.6092942,-75.8155342,2021-08-21,08:45 AM,eBird - Stationary Count,15,1,,,2,,,DB 51
S80016161,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10077667,BPI-144-CO,5.563794,-75.8064183,2021-01-28,09:13 AM,eBird - Stationary Count,10,1,,,1
S64084472,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10077504,BPI-147-CO,5.6190243,-75.8361338,2020-02-03,09:03 AM,eBird - Stationary Count,11,1,,,2
S65713489,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235642,BPI-151-CO,5.613661,-75.8757661,2020-03-09,07:35 AM,eBird - Stationary Count,11,1,,,2,,",S"
S80795404,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235641,BPI-152-CO,5.6120324,-75.8765381,2021-02-11,07:26 AM,PROALAS Point Count (2 bands),10,1,,,2,,,"CN 95, DB 45"
S61986015,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235638,BPI-153-CO,5.6102955,-75.8760018,2019-11-22,08:26 AM,eBird - Stationary Count,11,1,,,2
S93025690,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235638,BPI-153-CO,5.6102955,-75.8760018,2021-08-06,07:56 AM,eBird - Stationary Count,12,1,,,2,,,"DB, 55"
S94171423,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235638,BPI-153-CO,5.6102955,-75.8760018,2021-09-03,07:07 AM,eBird - Stationary Count,10,1,,,2,,,DB 46
S61985948,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235636,BPI-154-CO,5.6120603,-75.8750908,2019-11-22,06:30 AM,eBird - Stationary Count,11,1,,,2
S73653540,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235636,BPI-154-CO,5.6120603,-75.8750908,2020-08-27,09:05 AM,eBird - Stationary Count,10,1,,,2,,,"CN 30, DB 5"
S94171561,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10235636,BPI-154-CO,5.6120603,-75.8750908,2021-09-03,07:25 AM,eBird - Stationary Count,10,1,,,2,,,DB 55
S58575997,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10040060,Finca El Chocho,5.6128485,-75.8453608,2019-07-25,06:56 AM,eBird - Stationary Count,10,1,,,2,,,BPI016
S58430279,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10039980,Finca El Pomo,5.6165924,-75.8479206,2019-07-23,08:21 AM,eBird - Stationary Count,12,1,,,2,,,BPI008
S58430274,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9690919,Finca El Pomo,5.6168024,-75.8471842,2019-07-24,06:04 AM,eBird - Stationary Count,12,1,,,2,,,BPI008
S58430272,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L10039980,Finca El Pomo,5.6165924,-75.8479206,2019-07-24,06:48 AM,eBird - Stationary Count,10,1,,,2,,1,BPI010
S58430322,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9690810,Finca Los Correa,5.6143901,-75.8500293,2019-07-23,06:52 AM,eBird - Stationary Count,11,1,,,2,,,BPI002
S59371963,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L9329439,Finca Villa Barranca,5.5990288,-75.8750106,2019-08-30,08:44 AM,eBird - Casual Observation,,0,,,3
S61670126,White-tipped Dove,Leptotila verreauxi,2282,1,CO-ANT,,L2381258,La Esperanza Bird Reserve,5.61086,-75.836667,2019-11-23,07:33 AM,eBird - Traveling Count,137,1,2.01,,3
S81793211,White-throated Quail-Dove,Zentrygon frenata,2332,1,CO-ANT,,L10077683,BPI-083-CO,5.6175461,-75.8371251,2021-02-17,07:01 AM,eBird - Stationary Count,14,1,,,2,,,DB 31  CN 100
S93910229,White-throated Quail-Dove,Zentrygon frenata,2332,1,CO-ANT,,L16242961,Reserva La Esperanza,5.6185281,-75.8360414,2021-08-29,09:56 AM,eBird - Traveling Count,10,1,.33,,2
S94663771,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2021-09-13,09:15 AM,eBird - Stationary Count,12,1,,,2,,,DB 37
S72688431,Eared Dove,Zenaida auriculata,2357,4,CO-ANT,,L10040188,BPI-013-CO,5.5981459,-75.8288516,2020-08-20,07:04 AM,eBird - Stationary Count,10,1,,,1,,,"CN 100, db 62"
S73724684,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L9827391,BPI-030-CO,5.6002578,-75.8552479,2020-09-02,07:08 AM,eBird - Stationary Count,11,1,,,1,AC Ave Cantando,,"CN 100, db 37"
S82250770,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L9827344,BPI-032-CO,5.5975644,-75.8560345,2021-02-24,07:00 AM,eBird - Stationary Count,12,1,,,2,,,DB 39  Cn 65
S80745709,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L9854545,BPI-042-CO,5.6013412,-75.878152,2021-02-10,08:08 AM,eBird - Stationary Count,16,1,,,1,,V,DB 52  CN 60
S73724339,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L9854513,BPI-043-CO,5.5997909,-75.8757741,2020-09-07,07:16 AM,eBird - Stationary Count,25,1,,,1,,,"CN 30, db 47"
S73724199,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L9854513,BPI-043-CO,5.5997909,-75.8757741,2020-09-07,08:58 AM,eBird - Stationary Count,12,1,,,1,,,"CN 40, db 51"
S73951687,Eared Dove,Zenaida auriculata,2357,3,CO-ANT,,L9872383,BPI-064-CO,5.634056,-75.8583729,2020-09-10,07:26 AM,eBird - Stationary Count,10,1,,,1,,,"Cn 100, db 24"
S81535460,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L9872383,BPI-064-CO,5.634056,-75.8583729,2021-02-15,07:10 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 57"
S82559123,Eared Dove,Zenaida auriculata,2357,4,CO-ANT,,L9879106,BPI-065-CO,5.6059942,-75.8558969,2021-02-26,08:09 AM,eBird - Stationary Count,12,1,,,2,,,"CN 80, DB 43"
S82559137,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L9879063,BPI-066-CO,5.6058559,-75.8538809,2021-02-26,07:44 AM,eBird - Stationary Count,15,1,,,2,,,"CN 70,DB 46"
S73724922,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L10007358,BPI-107-CO,5.577721,-75.8523778,2020-09-01,06:59 AM,eBird - Stationary Count,10,1,,,1,,,"CN 45, db 54"
S81795780,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L10077690,BPI-146-CO,5.6210143,-75.8364881,2021-02-17,08:05 AM,eBird - Stationary Count,14,1,,,1,,,DB 45  Cn 100
S73730317,Eared Dove,Zenaida auriculata,2357,1,CO-ANT,,L10235631,BPI-148-CO,5.6100931,-75.8727516,2020-08-27,06:27 AM,eBird - Stationary Count,12,1,,,1,,,"CN 45, db 41"
S73726774,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L10235626,BPI-149-CO,5.6117005,-75.8734341,2020-08-27,06:57 AM,eBird - Stationary Count,13,1,,,1,,,"CN 30, db 29"
S80796846,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L10235636,BPI-154-CO,5.6120603,-75.8750908,2021-02-11,08:08 AM,eBird - Traveling Count,10,1,.112,,2,,,DB 36  CN 60
S93860396,Eared Dove,Zenaida auriculata,2357,2,CO-ANT,,L16067485,Hostal Ayahuasca,5.6001841,-75.8250323,2021-08-28,05:10 PM,eBird - Traveling Count,10,1,.38,,2
S57544629,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9329464,"Antioquia, CO (5.579, -75.853)",5.5787346,-75.8530621,2019-05-23,04:49 PM,eBird - Casual Observation,,0,,,2
S80844676,Smooth-billed Ani,Crotophaga ani,2964,5,CO-ANT,,L12284712,BPI-005-CO,5.6176153,-75.8478971,2021-02-09,09:34 AM,PROALAS Point Count (2 bands),12,1,,,2,,,"CN 60, DB 48",309138211 309138421
S92058888,Smooth-billed Ani,Crotophaga ani,2964,3,CO-ANT,,L12284712,BPI-005-CO,5.6176153,-75.8478971,2021-07-20,07:49 AM,eBird - Stationary Count,10,1,,,2,,,DB 43
S92038559,Smooth-billed Ani,Crotophaga ani,2964,4,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2021-07-20,08:23 AM,eBird - Stationary Count,11,1,,,2,,,DB 33
S72682685,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2020-08-11,08:07 AM,eBird - Stationary Count,17,1,,,1,,,"CN 50, db 34"
S58575975,Smooth-billed Ani,Crotophaga ani,2964,3,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2019-07-29,06:39 AM,eBird - Stationary Count,11,1,,,2,,,BPI018
S92642856,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L10040188,BPI-013-CO,5.5981459,-75.8288516,2021-07-29,08:30 AM,eBird - Stationary Count,11,1,,,2,,,CN 47
S81740548,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2021-02-15,07:42 AM,eBird - Stationary Count,11,1,,,2,,,"DB 35,CN 95"
S81539145,Smooth-billed Ani,Crotophaga ani,2964,3,CO-ANT,,L9824691,BPI-017-CO,5.6299916,-75.8591573,2021-02-15,07:51 AM,eBird - Stationary Count,12,1,,,2,,,DB 41  CN 100
S81716532,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2021-02-16,06:58 AM,eBird - Stationary Count,16,1,,,2,,,DB 34  Cn 80
S59521804,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9872248,BPI-019-CO,5.6220628,-75.8594385,2019-09-04,07:40 AM,eBird - Stationary Count,10,1,,,2,,2
S59506984,Smooth-billed Ani,Crotophaga ani,2964,4,CO-ANT,,L9872248,BPI-019-CO,5.6220628,-75.8594385,2019-09-04,08:18 AM,eBird - Stationary Count,11,1,,,2
S92452593,Smooth-billed Ani,Crotophaga ani,2964,4,CO-ANT,,L9872248,BPI-019-CO,5.6220628,-75.8594385,2021-07-21,08:30 AM,eBird - Stationary Count,15,1,,,2,,,DB 48
S83121535,Smooth-billed Ani,Crotophaga ani,2964,5,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2021-03-10,08:09 AM,eBird - Stationary Count,8,1,,,2,,,DB 39  Cn 100
S64175001,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9848324,BPI-023-CO,5.6202632,-75.8633817,2020-01-28,07:02 AM,eBird - Stationary Count,10,1,,,2
S59325410,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9848096,BPI-026-CO,5.6163435,-75.861268,2019-08-28,05:51 AM,eBird - Stationary Count,12,1,,,2,,1
S59368806,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9848096,BPI-026-CO,5.6163435,-75.861268,2019-08-29,08:07 AM,eBird - Stationary Count,15,1,,,2
S63884702,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9848096,BPI-026-CO,5.6163435,-75.861268,2020-01-28,08:28 AM,eBird - Stationary Count,10,1,,,2
S59872981,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9925725,BPI-027-CO,5.6058917,-75.8577423,2019-09-17,08:31 AM,eBird - Stationary Count,11,1,,,2
S59873587,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9925820,BPI-028-CO,5.6044914,-75.8578564,2019-09-17,09:04 AM,eBird - Stationary Count,10,1,,,2
S73724710,Smooth-billed Ani,Crotophaga ani,2964,3,CO-ANT,,L9926138,BPI-029-CO,5.6019295,-75.8572535,2020-09-02,06:46 AM,eBird - Stationary Count,11,1,,,1,,,"CN 100, db 45"
S92128528,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9824282,BPI-036-CO,5.6155924,-75.8253705,2021-07-22,08:30 AM,eBird - Stationary Count,20,1,,,2,,,DB 36
S92786947,Smooth-billed Ani,Crotophaga ani,2964,3,CO-ANT,,L14141170,BPI-047-CO,5.609081,-75.867227,2021-08-05,06:19 AM,eBird - Stationary Count,13,1,,,2,,,DB 45
S59173493,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9824100,BPI-050-CO,5.6089103,-75.8251729,2019-08-22,08:41 AM,eBird - Stationary Count,12,1,,,2,CC Con Ceba
S74166097,Smooth-billed Ani,Crotophaga ani,2964,7,CO-ANT,,L9992890,BPI-054-CO,5.5875,-75.8326233,2020-09-28,08:50 AM,eBird - Stationary Count,12,1,,,1,,,"Cn 30, db 38"
S92642897,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9992890,BPI-054-CO,5.5875,-75.8326233,2021-07-29,06:40 AM,eBird - Stationary Count,17,1,,,2
S85002606,Smooth-billed Ani,Crotophaga ani,2964,1,CO-ANT,,L9992512,BPI-055-CO,5.5899659,-75.8252754,2021-04-06,07:52 AM,eBird - Stationary Count,12,1,,,2,,,"CN 90, DB 46"
S59845731,Smooth-billed Ani,Crotophaga ani,2964,2,CO-ANT,,L9909031,BPI-056-CO,5.5894458,-75.8574513,2019-09-13,07:45 AM,eBird - Stationary Count,10,1,,,2,,2
S65028218,Smooth-billed Ani,Crotophaga ani,2964,4,CO-ANT,,L9909031,BPI-056-CO,5.5894458,-75.8574513,2020-02-21,08:41 AM,eBird - Stationary Count,14,1,,,2,,4
